Top des prénoms en 2020 en France  par région;;
;;
Mise en ligne le 28/07/2021;;
©Insee       Source : Insee, fichier des prénoms 2020;;
;;
Top des prénoms de fille en 2020 en France par région;;
Région;Prénom;Nombre
Auvergne-Rhône-Alpes;LOUISE;458
Bourgogne-Franche-Comté;LOUISE;158
Bretagne;JADE;211
Centre-Val de Loire;LOUISE;143
Corse;GHJULIA;25
Grand Est;JADE;322
Guadeloupe;MYA;15
Guyane;CHLOÉ;19
Hauts-de-France;JADE;449
Île-de-France;LINA;711
La Réunion;MIA;67
Martinique;MYA;16
Normandie;JADE;248
Nouvelle-Aquitaine;LOUISE;386
Occitanie;JADE;308
Pays de la Loire;LOUISE;287
Provence-Alpes-Côte d’Azur;LINA;275
