Top des prénoms en 2020 en France par région;;
;;
Mise en ligne le 28/07/2021;;
©Insee       Source : Insee, fichier des prénoms 2020;;
;;
Top des prénoms de garçon en 2020 en France par région;;
Région;Prénom;Nombre
Auvergne-Rhône-Alpes;LÉO;583
Bourgogne-Franche-Comté;LÉO;175
Bretagne;ARTHUR;230
Centre-Val de Loire;LÉO;160
Corse;ANDRIA;33
Grand Est;LÉO;404
Guadeloupe;GABRIEL et LYAM;24
Guyane;SAMUEL;29
Hauts-de-France;LÉO;471
Île-de-France;ADAM;1 185
La Réunion;ETHAN;80
Martinique;NOAH;22
Normandie;RAPHAËL;250
Nouvelle-Aquitaine;LÉO;443
Occitanie;LÉO;398
Pays de la Loire;LÉO;281
Provence-Alpes-Côte d’Azur;LÉO;366
